ID,Comment
1,omg I’ve waited a WHOLE decade for this ughh
2,books > tv always
3,pls cast @henrygold like he was BORN for eclipse
4,Earn $500 a day 👉 link in bio
5,@sarah read this!!!
6,"if they don’t get zendaya to play Luna, I’m rioting"
7,stop ruining classics with reboots 👎
8,finallyyyyyy 😭😭 get in my veins
9,Imagine Timothée as the sentinel 👀
10,hope the VFX budget isn’t cheap
11,@mike dude remember 8th grade??
12,my inner child is screaminggg
13,MONEY grab alert smh
14,dev patel for Sky-King? make it happen
15,this poster just cured my monday blues
16,ugh another remake nobody asked for
17,trailer better show the storm scene 🔥
18,@teamEclipse assemble
19,can’t handle the hype rn
20,💖 Hot singles in your area 💖
21,"we NEED Florence Pugh as Nova, trust"
22,episode 3 cliff-hanger gonna break TikTok
23,LEAVE my childhood alone!!
24,@alex @char it’s happening!!!
25,as long as they keep the politics layer we’re good
26,hands shaking send oxygen pls
27,hollywood has no new ideas smh
28,if they nail the Eclipse battle it could win awards
29,lowkey wanna see unknown actors tbh
30,check out my page for crypto tips
31,the trailer date is on my birthday?? destiny!!
32,no one asked for this lol
33,cast diversity or we riot
34,Streaming full ep FREE on my profile 🚀
35,my heart just did a flip
36,bet they’ll drop all eps at once
37,"@bookclub gals, our time"
38,OMG I’M CRYING THIS IS REAL!!!
39,this will flop harder than the 2012 movie
40,wonder if they’ll split into 2 seasons like rumor
41,GET followers fast >>>
42,Hands-down best news today
43,another cash-grab? just stop
44,if they CGI the beasts hire Weta!!
45,"trailer drops on AUG 15, set ur alarms!!!"
46,@luna_lore LOOK!
47,Hands up who re-read the trilogy last night 🙋‍♀️
48,check out my merch store 🔥
49,devs better not cut the lake scene
50,leave it to Starlight to revive my childhood
51,holy wow those colors popppp
52,Money grab but I’ll still watch lol
53,@dad yes it’s THAT book
54,trailer better be 4 mins long or I riot
55,imagine if they get Hans Zimmer on score 🤯
56,meh reboot fatigue setting in
57,can we please keep Solar’s arc intact
58,the tagline gave me chills
59,@sona we predicted this lol
60,The hype train has no brakes!!!
61,stopppp I’m not ready for this
62,buy cheap sunglasses here 🕶️
63,Hands down casting will make or break
64,ugh hope they don’t YA-ify the tone
65,@jen see we were right!!!
66,finally some good fantasy on TV
67,i’ll believe it when I see it
68,GIVE US a behind-the-scenes vlog
69,spam spam SPAM check profile
70,another reboot? pass
71,show me Luna’s armour or we riot
